,Player,Cluster,Role,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,USG%
150,Kevin Huerter,4,???,9.7,3.3,2.9,0.9,0.3,0.419,0.385,0.732,15.7
151,Luke Kennard,1,3&D guard,9.7,2.9,1.8,0.4,0.2,0.43799999999999994,0.39399999999999996,0.836,18.1
152,Nemanja Bjelica,12,3&D forward,9.6,5.8,1.9,0.7,0.7,0.479,0.401,0.7609999999999999,16.5
153,Jonathan Isaac,12,3&D forward,9.6,5.5,1.1,0.8,1.3,0.429,0.32299999999999995,0.815,16.3
154,Jeremy Lin,4,???,9.6,2.4,3.1,0.6,0.2,0.44,0.294,0.838,21.8
155,Robin Lopez,12,3&D forward,9.5,3.9,1.2,0.1,1.1,0.568,0.226,0.7240000000000001,18.6
156,Tony Parker,4,???,9.5,1.5,3.7,0.4,0.1,0.46,0.255,0.7340000000000001,25.5
157,Al-Farouq Aminu,12,3&D forward,9.4,7.5,1.3,0.8,0.4,0.433,0.34299999999999997,0.867,13.7
158,JaMychal Green,12,3&D forward,9.4,6.3,0.8,0.7,0.5,0.483,0.40299999999999997,0.792,19.4
159,Markieff Morris,12,3&D forward,9.4,4.6,1.4,0.6,0.4,0.42100000000000004,0.335,0.772,19.1
160,Larry Nance,9,Do it all big,9.4,8.2,3.2,1.5,0.6,0.52,0.337,0.716,15.5
161,Nicolas Batum,12,3&D forward,9.3,5.2,3.3,0.9,0.6,0.45,0.389,0.865,13.2
162,Jalen Brunson,4,???,9.3,2.3,3.2,0.5,0.1,0.467,0.348,0.725,19.1
163,Gerald Green,1,3&D guard,9.2,2.5,0.5,0.5,0.4,0.4,0.354,0.838,19.5
164,Landry Shamet,1,3&D guard,9.1,1.7,1.5,0.5,0.1,0.431,0.42200000000000004,0.8059999999999999,15.0
165,Terry Rozier,4,???,9.0,3.9,2.9,0.9,0.3,0.387,0.353,0.785,18.6
166,Bam Adebayo,3,Rim runner,8.9,7.3,2.2,0.9,0.8,0.5760000000000001,0.2,0.735,15.8
167,Rondae Hollis-Jefferson,4,???,8.9,5.3,1.6,0.7,0.5,0.41100000000000003,0.184,0.645,21.6
168,Malik Monk,4,???,8.9,1.9,1.6,0.5,0.3,0.387,0.33,0.882,24.6
169,Tomas Satoransky,10,Floor general,8.9,3.5,5.0,1.0,0.2,0.485,0.395,0.8190000000000001,14.1
170,Marcus Smart,10,Floor general,8.9,2.9,4.0,1.8,0.4,0.42200000000000004,0.364,0.8059999999999999,14.6
171,Ish Smith,4,???,8.9,2.6,3.6,0.5,0.2,0.419,0.326,0.758,19.9
172,Ivica Zubac,3,Rim runner,8.9,6.1,1.1,0.2,0.9,0.5589999999999999,0.0,0.802,20.3
173,Alec Burks,4,???,8.8,3.7,2.0,0.6,0.3,0.405,0.363,0.823,19.0
174,Mario Hezonja,4,???,8.8,4.1,1.5,1.0,0.1,0.41200000000000003,0.276,0.763,21.3
